OrderedDict([('biweek', '9'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '50'), ('pop', '153658.4654')])
OrderedDict([('biweek', '10'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '31'), ('pop', '153792.1927')])
OrderedDict([('biweek', '11'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '87'), ('pop', '153926.0583')])
OrderedDict([('biweek', '12'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '52'), ('pop', '154060.0597')])
OrderedDict([('biweek', '13'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '29'), ('pop', '154194.1942')])
OrderedDict([('biweek', '14'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '40'), ('pop', '154328.4593')])
OrderedDict([('biweek', '15'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '12'), ('pop', '154462.8524')])
OrderedDict([('biweek', '16'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '16'), ('pop', '154597.3709')])
OrderedDict([('biweek', '17'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '154732.0122')])
OrderedDict([('biweek', '18'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '154866.7737')])
OrderedDict([('biweek', '19'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '5'), ('pop', '155001.6529')])
OrderedDict([('biweek', '20'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '155136.647')])
OrderedDict([('biweek', '21'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '155271.7536')])
OrderedDict([('biweek', '22'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '155406.9701')])
OrderedDict([('biweek', '23'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '155542.2938')])
OrderedDict([('biweek', '24'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '155677.7221')])
OrderedDict([('biweek', '25'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '155813.2526')])
OrderedDict([('biweek', '26'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '3'), ('pop', '155948.8825')])
OrderedDict([('biweek', '1'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '5'), ('pop', '156084.6093')])
OrderedDict([('biweek', '2'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '156220.4304')])
OrderedDict([('biweek', '3'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '22'), ('pop', '156356.3432')])
OrderedDict([('biweek', '4'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '21'), ('pop', '156492.3452')])
OrderedDict([('biweek', '5'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '27'), ('pop', '156628.4336')])
OrderedDict([('biweek', '6'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '17'), ('pop', '156764.6061')])
OrderedDict([('biweek', '7'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '49'), ('pop', '156900.8598')])
OrderedDict([('biweek', '8'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '78'), ('pop', '157037.1923')])
OrderedDict([('biweek', '9'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '63'), ('pop', '157173.601')])
OrderedDict([('biweek', '10'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '74'), ('pop', '157310.0832')])
OrderedDict([('biweek', '11'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '78'), ('pop', '157446.6365')])
OrderedDict([('biweek', '12'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '51'), ('pop', '157583.2581')])
OrderedDict([('biweek', '13'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '25'), ('pop', '157719.9455')])
OrderedDict([('biweek', '14'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '26'), ('pop', '157856.6961')])
OrderedDict([('biweek', '15'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '20'), ('pop', '157993.5074')])
OrderedDict([('biweek', '16'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '11'), ('pop', '158130.3766')])
OrderedDict([('biweek', '17'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '8'), ('pop', '158267.3014')])
OrderedDict([('biweek', '18'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '158404.2789')])
OrderedDict([('biweek', '19'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '158541.3067')])
OrderedDict([('biweek', '20'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '3'), ('pop', '158678.3822')])
OrderedDict([('biweek', '21'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '17'), ('pop', '158815.5027')])
OrderedDict([('biweek', '22'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '17'), ('pop', '158952.6657')])
OrderedDict([('biweek', '23'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '15'), ('pop', '159089.8687')])
OrderedDict([('biweek', '24'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '10'), ('pop', '159227.1089')])
OrderedDict([('biweek', '25'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '159364.3838')])
OrderedDict([('biweek', '26'), ('year', '1913'), ('loc', 'WORCESTER'), ('cases', '9'), ('pop', '159501.6908')])
OrderedDict([('biweek', '1'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '14'), ('pop', '159639.0274')])
OrderedDict([('biweek', '2'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '18'), ('pop', '159776.3909')])
OrderedDict([('biweek', '3'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '26'), ('pop', '159913.7787')])
OrderedDict([('biweek', '4'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '25'), ('pop', '160051.1883')])
OrderedDict([('biweek', '5'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '23'), ('pop', '160188.617')])
OrderedDict([('biweek', '6'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '22'), ('pop', '160326.0624')])
OrderedDict([('biweek', '7'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '23'), ('pop', '160463.5217')])
OrderedDict([('biweek', '8'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '38'), ('pop', '160600.9923')])
OrderedDict([('biweek', '9'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '24'), ('pop', '160738.4718')])
OrderedDict([('biweek', '10'), ('year', '1914'), ('loc', 'WORCESTER'), ('cases', '25'), ('pop', '160875.9575')])
