OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '177'), ('pop', '2762729.774')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '211'), ('pop', '2765584.251')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '225'), ('pop', '2768444.878')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '230'), ('pop', '2771311.546')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '148'), ('pop', '401247')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '305'), ('pop', '401444.2644')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '420'), ('pop', '401642.2607')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '416'), ('pop', '401840.9801')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '361'), ('pop', '402040.4134')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '422'), ('pop', '402240.5518')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '381'), ('pop', '402441.3862')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '470'), ('pop', '402642.9077')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '410'), ('pop', '402845.1072')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '296'), ('pop', '403047.9757')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '189'), ('pop', '403251.5044')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '82'), ('pop', '403455.6842')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '57'), ('pop', '403660.5061')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '21'), ('pop', '403865.9611')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '3'), ('pop', '404072.0402')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '2'), ('pop', '404278.7345')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', 'NA'), ('pop', '404486.035')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', 'NA'), ('pop', '404693.9326')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '2'), ('pop', '404902.4184')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '2'), ('pop', '405111.4835')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '10'), ('pop', '405321.1188')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '4'), ('pop', '405531.3153')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '5'), ('pop', '405742.064')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '2'), ('pop', '405953.356')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '6'), ('pop', '406165.1823')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'CINCINNATI'), ('cases', '4'), ('pop', '406377.5339')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '509'), ('pop', '796841')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '525'), ('pop', '797588.9605')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '376'), ('pop', '798334.2194')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '394'), ('pop', '799076.7768')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '261'), ('pop', '799816.6327')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '211'), ('pop', '800553.7871')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '203'), ('pop', '801288.2401')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '181'), ('pop', '802019.9917')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '145'), ('pop', '802749.0419')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '137'), ('pop', '803475.3908')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '138'), ('pop', '804199.0383')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '108'), ('pop', '804919.9846')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '60'), ('pop', '805638.2295')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '46'), ('pop', '806353.7732')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '23'), ('pop', '807066.6157')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '11'), ('pop', '807776.757')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '10'), ('pop', '808484.1971')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '9'), ('pop', '809188.9361')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '7'), ('pop', '809890.974')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '8'), ('pop', '810590.3108')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '7'), ('pop', '811286.9466')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '14'), ('pop', '811980.8813')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '30'), ('pop', '812672.115')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '36'), ('pop', '813360.6478')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '59'), ('pop', '814046.4796')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'CLEVELAND'), ('cases', '31'), ('pop', '814729.6104')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '24'), ('pop', '237031')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '46'), ('pop', '237264.0561')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '92'), ('pop', '237497.4416')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '162'), ('pop', '237731.1499')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '188'), ('pop', '237965.1751')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '223'), ('pop', '238199.5106')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '309'), ('pop', '238434.1504')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '436'), ('pop', '238669.088')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '356'), ('pop', '238904.3174')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '220'), ('pop', '239139.8321')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '135'), ('pop', '239375.6259')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '40'), ('pop', '239611.6926')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '18'), ('pop', '239848.0258')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '3'), ('pop', '240084.6194')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '240321.467')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '2'), ('pop', '240558.5624')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '240795.8993')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '241033.4715')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '241271.2726')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '241509.2964')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '241747.5367')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '2'), ('pop', '241985.9872')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '2'), ('pop', '242224.6416')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', '2'), ('pop', '242463.4936')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '242702.537')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'COLUMBUS'), ('cases', 'NA'), ('pop', '242941.7655')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '12'), ('pop', '256491')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '19'), ('pop', '256614.1213')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '56'), ('pop', '256737.3795')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '96'), ('pop', '256860.7729')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '99'), ('pop', '256984.2996')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '172'), ('pop', '257107.9578')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '341'), ('pop', '257231.7458')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '280'), ('pop', '257355.6617')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '273'), ('pop', '257479.7036')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '359'), ('pop', '257603.8698')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '301'), ('pop', '257728.1585')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'DENVER'), ('cases', '233'), ('pop', '257852.5678')])
